city,country,name,year,year_last_expansion,stations,length_km,annual_ridership_mill,region
New York City,United States,Staten Island Railway,1925,2017,21,225,3.80,north_america
New York City,United States,PATH,1908,1937,13,222,45.50,north_america
Philadelphia,United States,SEPTA,1907,1973,72,591,41.20,north_america
Philadelphia,United States,PATCO Speedline,1936,1980,13,229,4.90,north_america
San Francisco (Bay Area),United States,BART,1972,2020,47,1915,39.60,north_america
San Juan,United States,Tren Urbano,2004,2005,16,172,2.50,north_america
"Washington, D.C.",United States,Washington Metro,1976,2023,98,206,93.00,north_america
Tashkent,Uzbekistan,Tashkent Metro,1977,2023,48,591,136.70,asia
Caracas,Venezuela,Caracas Metro,1983,2015,49,672,358.00,latin_america
Hanoi,Vietnam,Hanoi Metro,2021,2016,12,131,7.50,asia
